Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Amaya, Jacob",67.5,7.1,0.143,21.45287852
"Reyes, Pablo",69.2,7.2,0.142,22.23392156
"Hurtubise, Jacob",65,6.9,0.145,20.46981884
"Gurriel Jr., Yuli",73.8,8,0.148,22.75931115
"Serven, Brian",70.3,7.5,0.145,22.02854249
"Bliss, Ryan",70.6,6.8,0.131,24.50399335
"López, Jack",71.2,7.5,0.144,22.59618389
"Clase, Jonatan",70.7,6.8,0.131,24.57345893
"Crawford, Brandon",70.6,7.4,0.143,22.51718308
"Madris, Bligh",71.6,7.5,0.143,22.85078677
"Sanó, Miguel",76.5,8,0.143,24.45508969
"Jung, Jace",70.7,7.3,0.141,22.8903453
"Nuñez, Nasim",66.5,6.7,0.137,22.06504739
"Barnhart, Tucker",67.4,7.4,0.150,20.52222524
"Kavadas, Niko",70.5,7,0.135,23.73649393
"Berti, Jon",71.6,7.4,0.141,23.15958119
"Conine, Griffin",73,7.6,0.142,23.44058816
"Sogard, Nick",65.9,6.9,0.143,21.04059975
"Azocar, José",70.5,7,0.135,23.73649393
"Dunn, Oliver",75.2,7.6,0.138,24.87473516
"Noda, Ryan",72.3,7.6,0.143,22.99319799
"Fermín, José",65.5,7.2,0.150,19.9198691
"Story, Trevor",68.8,7.2,0.143,21.97762489
"Davis, Henry",72.5,7.4,0.139,23.74546453
"Schunk, Aaron",68.8,6.6,0.131,23.97559079
"Wagner, Will",68.9,6.4,0.127,24.79675473
"Sánchez, Ali",69.1,7.1,0.140,22.48195751
"McCray, Grant",72.7,7.2,0.135,24.5398951
"Knizner, Andrew",70.3,7,0.136,23.60200981
"Lukes, Nathan",66.2,6.4,0.132,22.89140144
"Cooper, Garrett",72.9,7.8,0.146,22.77701619
"Madrigal, Nick",65.4,6.5,0.136,21.99776289
"Ramos, Bryan",72,8.5,0.161,20.38836706
"Herrera, Jose",66.5,7,0.144,21.1194025
"Sweeney, Trey",74.1,7.7,0.142,23.83867251
"Thomas, Alek",70.9,7.1,0.137,23.66848708
"Call, Alex",67.7,6.8,0.137,22.53226246
"Encarnacion, Jerar",77,7.8,0.138,25.4110859
"Outman, James",73.2,7.9,0.147,22.67417256
"Mastrobuoni, Miles",66.8,6.5,0.133,22.94964357
"Adams, Riley",75.5,8.1,0.146,23.5258466
"Schmitt, Casey",71.6,7.5,0.143,22.85078677
"Wilson Jr., Jacob",63.5,6.2,0.133,21.74163185
"Baldwin, Brooks",71.2,7.1,0.136,23.86920834
"Monasterio, Andruw",69.1,6.7,0.132,23.82416393
"Clemens, Kody",70.6,7.3,0.141,22.82563764
"Bryant, Kris",69.5,7.9,0.155,20.43990601
"Abreu, José",73.1,7.1,0.132,25.16012427
"Carpenter, Matt",69.3,8.1,0.159,19.820647
"Jackson, Alex",74.4,7.5,0.137,24.67294464
"Casali, Curt",66.8,7.3,0.149,20.43461414
"Stefanic, Michael",64.4,6.3,0.133,22.00734044
"Mead, Curtis",74,7.3,0.135,25.07707945
"Crews, Dylan",72.3,7.4,0.140,23.61463577
"Chaparro, Andrés",72.4,7.1,0.134,24.68056856
"Aranda, Jonathan",70.1,7.3,0.142,22.50347319
"Thaiss, Matt",72.4,7.8,0.147,22.46564574
"Nido, Tomás",70.8,8,0.154,20.9465694
"Wisdom, Patrick",75.4,7.9,0.143,24.05758213
"Carter, Evan",71,7.1,0.136,23.7353
"Pache, Cristian",71.7,7.4,0.141,23.22431793
"McGuire, Reese",68.8,8.1,0.161,19.53566657
"Manzardo, Kyle",71.8,7.6,0.144,22.67627279
"Barnes, Austin",68.2,6.4,0.128,24.29546144
"Beck, Jordan",71.4,7.7,0.147,22.13309127
"Smith, Pavin",73,7.4,0.138,24.07411757
"Hill, Derek",70.4,7.3,0.141,22.6964971
"Martini, Nick",69.8,6.9,0.135,23.60468075
"Wade, Tyler",66.1,6.7,0.138,21.80040154
"Norby, Connor",70.1,7.1,0.138,23.13737385
"Walker, Jordan",77.3,8.2,0.145,24.36023716
"Canzone, Dominic",72.4,7.6,0.143,23.05684695
"Biggio, Cavan",66.8,6.9,0.141,21.61922945
"Alexander, Blaze",73.1,7.3,0.136,24.47080579
"Tena, José",71.2,6.9,0.132,24.56106945
"Cameron, Daz",72.9,6.8,0.127,26.1265774
"Slater, Austin",71.9,6.8,0.129,25.41471504
"Martínez, Angel",69,7.3,0.144,21.80277123
"Holliday, Jackson",71.2,7.1,0.136,23.86920834
"Julks, Corey",70.7,7,0.135,23.8713601
"Grisham, Trent",70.4,7.7,0.149,21.51745829
"Schneemann, Daniel",70.8,7,0.135,23.93893646
"Loftin, Nick",69.5,7.4,0.145,21.82098074
"Jung, Josh",72,7.2,0.136,24.0696
"Soderstrom, Tyler",74.4,7.5,0.137,24.67294464
"Olivares, Edward",71.8,7.3,0.139,23.60817441
"Jankowski, Travis",67,6.5,0.132,23.08727231
"Lee, Brooks",69.3,6.9,0.136,23.26771604
"Mateo, Jorge",72.5,7.8,0.147,22.5277484
"Grossman, Robbie",67.5,6.5,0.131,23.43314423
"Vargas, Miguel",69.8,7.7,0.150,21.15224639
"Marte, Noelvi",73.1,7.5,0.140,23.81825097
"Hampson, Garrett",69.1,7,0.138,22.80312833
